,name,quantity,currency,has_presale,presale_price,presale_date,starting_price,release_date,discord,twitter,website
56,Anim4rt,10000.0,ETH,True,0.26,2022-05-22 09:00:00,0.26,2022-05-22 09:00:00,Anim4rt,yo_4rt,https://yo-4rt.com
57,Cool Gorilla Beach Club,10000.0,ETH,False,,,,,65wSm9GaWb,CoolGorillaBC,http://coolgorillabeachclub.com/
58,Chillin Chameleons 3.0,6000.0,ETH,True,0.09,,0.09,,chillinchameleons,chillnchameleon,https://chillinchameleons.com
59,Final Humans,6000.0,SOL,False,,,,,CR3E3YEvUF,FinalHumans,https://finalhumans.com/
60,Cathereum,9999.0,ETH,False,,,,,6JMrkyAjqm,nft_cathereum,https://www.cathereum.xyz/
61,Little Women,8888.0,,False,,,,,gUydugCMy7,LittleWomen_NFT,https://littlewomen.io
62,MonkChains Genesis,1488.0,ETH,True,0.04,,0.04,,monkchains,monkchains,https://monkchains.io
63,MutantSheepsLab,5555.0,SOL,True,1.2,,1.2,,bQV945JY6y,mutantsheepslab,https://mutantsheepslab.com/
64,Wild Fox Squad,10.0,ETH,False,,,,,g9wNFPvB,WildFoxSquadNFT,https://www.wildfoxsquad.com
65,SLIMES,9888.0,ETH,True,0.0,,0.0,,6QCGpUcvrT,SLIMESfun,https://www.slimes.fun/
66,Chimerapillars,8888.0,ETH,False,,,,,toddlerpillars,chimerapillars,https://chimerapillars.com
67,City Of Gold,10000.0,ETH,True,0.12,,0.12,,cityofgold,cityofgold_io,https://cityofgold.io/
68,Cute Pandaz Club,8888.0,,True,,2022-05-23 00:00:00,,2022-05-23 00:00:00,HDQXwnSpX7,CutePandazClub,https://www.cutepandaz.com/
69,Meta Cuties,9999.0,ETH,True,0.05,,0.05,,5F9FAuR5GC,MetaCutiesNFT,https://www.metacutiesnft.com/
70,Snobiety - Culture Cubs,6666.0,ETH,False,,,,,snobiety,snobietynft,https://snobietynft.xyz/
71,Otters Universe,4813.0,ETH,False,,,,,MPbB7EjBEW,otters_universe,https://www.ottersuniverse.com/
72,HUES,7777.0,ETH,False,,,,,DUcbbFgMBW,huesnft,https://huesnft.com
73,Creature Culture Collection,10001.0,ETH,True,0.02,2022-05-24 00:00:00,0.02,2022-05-24 00:00:00,bPyEMSG84A,CreatureCultur3,https://www.creatureculturecollection.com/
74,GYM RAT ELEPHANTS MAIN FORCE,5500.0,ETH,False,,,,,qpNedkn4D5,gymratelephants,https://www.gymratelephants.com
75,Heroes of the Metaverse,6600.0,ETH,False,,,,,HOTM,heroesmetaverse,https://www.heroesmetaverse.app/
76,The Last Mayan Treasure,9999.0,ETH,False,,,,,5QGBX95Evh,Last_Mayan_NFT,https://www.thelastmayantreasure.io
77,Dodger NFT & Metaverse,8888.0,ETH,True,0.056,2022-05-25 10:00:00,0.056,2022-05-25 10:00:00,xNQXPrJxAA,DodgerNft,https://dodgernft.io
78,Xkart Racing,5000.0,AVAX,False,,,,,tJBKzVfvBK,XkartR,https://xkartracing.com
79,Denizen,9999.0,ETH,False,,,,,denizen,denizenio,https://denizen.io
80,DummyVegs,555.0,SOL,False,,,,,mXkAttjYey,dummy_vegs,https://t.co/KnuJaIj0rT
81,PvPWorlds,10000.0,ETH,False,,,,,9aq5M5NqUS,PvPWorldsNFT,https://pvpworlds.com/
82,Bibbop Collection,5555.0,ETH,False,,,,,EXDAfwHFJG,BibbopC,https://sites.google.com/view/bibbopcollection/home
83,Chunky Buddhas,10000.0,ETH,True,0.045,,0.045,,No Discord,ChunkyBuddhas,https://chunkybuddha.tech/
84,Glody Knights,6500.0,ETH,False,,,,,glodyknights,GlodyKnightsNFT,https://www.glodyknights.com
85,Kazi NFT,5000.0,ETH,True,,2022-05-25 00:00:00,,2022-05-25 00:00:00,edxbX5aMM7,kazinft,https://www.kazinft.com/
86,META MONA CLUB NFT,2000.0,SOL,True,1.5,2022-05-25 00:00:00,1.5,2022-05-25 00:00:00,5QfpnHEYmj,TheMetamona?t=4zDnmG94Lv9xccWb7dbFmQ&s=09,https://themetamona.com/#rarity
87,ANYDINGS,3333.0,ETH,True,0.03,2022-05-26 03:00:00,0.03,2022-05-26 03:00:00,Sorry. No Discord,anydings,https://anydings.io
88,CyberZillaz Genesis,2222.0,,False,,,,,cyberzillaz,CyberZillaz,https://cyberzillaz.xyz/
89,CBRD: Comic #7 The Golden Bibimbap,10000.0,ETH,False,,,,,eE2269Ym2y,ChefBoiRDoge,https://chefboirdoge.com
90,Mini Moo NFT,10000.0,ETH,True,0.04,,0.04,,dFRKMM6P3Q,MiniMooNFT,https://www.minimoonft.com/
91,Party Unicorn,3333.0,ETH,False,,,,,mkVcDGn2e9,LittlezProject,http://littlez.art
92,Project Atmos,10000.0,ETH,True,0.069,2022-05-26 00:00:00,0.069,2022-05-26 00:00:00,bloqparty,bloqparty_nft,https://www.bloqparty.xyz/
93,8 Hanabi,8888.0,ETH,True,,2022-05-28 06:00:00,,2022-05-28 06:00:00,8hanabi,8Hanabi_NFT,https://www.8hanabi.com/
94,Drunken Ducks,5222.0,ETH,False,,,,,N7GEpew7Sc,drunkenducksNFT,https://drunkenducks.xyz/
95,The Kids,9001.0,,False,,,,,CGmAuACtRh,wethekidsNFT,https://www.wethekids.xyz/
96,Ponini's,,,False,,,,,z7HFNAJkeY,poninisnft,https://www.poninis.com
97,Robo Frens,7777.0,ETH,True,0.02,2022-05-28 14:00:00,0.02,2022-05-28 14:00:00,robofrens,robofrens,https://robofrens.club
98,Apes Girl,995.0,SOL,False,,,,,VxcP5SYd5B,SolApeGirls,https://solapegirl.com/
99,BurgerHeadz,10000.0,,True,,2022-05-28 00:00:00,,2022-05-28 00:00:00,xaFKZbF3,burgerheadznft,https://www.burgerheadz.com
100,CHUMP Lords,2222.0,SOL,False,,,,,MFNMNYzwBT,ChumpsNFT,https://www.chumplords.xyz/
101,The Egg Society,8888.0,ETH,True,0.04,,0.04,,fkBZKdARga,the_egg_society ,https://theeggsociety.com/
102,THE EVE GLASSES Francis de Lara First NFT drop,10.0,ETH,False,,,,,B39UJjmjpz,bnv_me,https://www.bnv.me/campaigns/francis-de-lara-p1
103,Bad Bulls,10000.0,ETH,True,0.05,2022-05-29 03:00:00,0.05,2022-05-29 03:00:00,PkardUkwKZ,badbullsnft,https://badbulls.site
104,Rise of Rhelegus,7777.0,ETH,False,,,,,bjwbkEGham,rhelegus,https://riseofrhelegus.com/
105,Maiko NFT,10000.0,ETH,False,,,,,FUbrVEFxds,NFTgeisha,https://geishateahouse.com/maiko
106,Cat Mobstaz,8888.0,ETH,False,,,,,cVQo8U1wPv,catmobstaz,https://catmobstaz.com
107,ZelenskiyNFT,10000.0,ETH,True,,2022-05-31 08:00:00,,2022-05-31 08:00:00,zelenskiynft,zelenskiynft,https://zelenskiynft.com/
108,CavernCores,125.0,DAI,False,,,,,caverncores,CavernCores,https://caverncores.com
109,The Lost Bitcoins,10963.0,ETH,False,,,,,T6ZeUpxjTU,thelostbitcoins,https://www.thelostbitcoins.com/
110,Aithereal,33333.0,ETH,False,,,,,55EgnjPCgH,aith3r3al,https://aithereal.net
111,CroodApesArmy,1499.0,,False,,,,,DmZSshnct4,CroodApesArmy,https://croodapesarmy.com/
112,Floatyz,7777.0,ETH,False,,,,,npp3PZKyp5,FloatyzNFT,https://www.floatyz.io/
113,The Imperfects Club,4000.0,ETH,False,,,,,DNyaK3CrJ7,ImperfectsNFT ,https://www.theimperfectsclub.com/
114,The Last Dream,120.0,ETH,True,0.07,,0.07,,f5RzHDTy6K,haze_long,http://hazelong.com/thelastdream
115,Dream Girls NFT,100.0,,False,,,,,jTfRNGavK5,DreamGirlsNFT,https://www.dreamgirlsnft.xyz
116,Onça Crypto,10000.0,,False,,,,,heQm5pvkyz,crypto_jaguars,https://www.oncacryptonft.com/en
117,Cool Astronauts,3333.0,ETH,False,,,,,FAA65MbNpg,CoolAstronauts,https://coolastronauts.art/
118,Pit Puppies,5000.0,MATIC,True,10.0,2022-06-01 09:00:00,10.0,2022-06-01 09:00:00,GAJPfv5Vpu,vianijoe,https://www.pitpuppies.app
119,Apple Friends,9999.0,ETH,True,0.03,,0.03,,Cooming Soon,applefriends6,http://www.applefriends.xyz/
