,name,image_urls,quantity,currency,has_presale,presale_price,presale_date,starting_price,release_date,discord,twitter,website
30,Super Fat Apes,"['https://upcoming.images.rarity.tools/superfatapes_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/superfatapes_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/superfatapes_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/superfatapes_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/superfatapes_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/superfatapes_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/superfatapes_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/superfatapes_4?width=150&optimizer=image']",8888,,True,,2022-03-02 00:00:00,,2022-03-02 00:00:00,superfatapes,superfatapes,https://www.superfatapes.com/
31,Candyfrens,"['https://upcoming.images.rarity.tools/candyfrensnft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/candyfrensnft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/candyfrensnft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/candyfrensnft_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/candyfrensnft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/candyfrensnft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/candyfrensnft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/candyfrensnft_4?width=150&optimizer=image']",10000,ETH,False,,,,,aJVP6SrghU,Candyfrens,https://www.candyfrens.com/
32,Teen Ape Gang Mutants,"['https://upcoming.images.rarity.tools/teenapegangmutantsnft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/teenapegangmutantsnft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/teenapegangmutantsnft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/teenapegangmutantsnft_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/teenapegangmutantsnft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/teenapegangmutantsnft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/teenapegangmutantsnft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/teenapegangmutantsnft_4?width=150&optimizer=image']",6000,ETH,False,,,,,teenapegang,TeenApeGang,https://teenapegang.com/
33,3D Brian NFTs by Braindom Games,"['https://upcoming.images.rarity.tools/briannfts_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/briannfts_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/briannfts_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/briannfts_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/briannfts_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/briannfts_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/briannfts_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/briannfts_4?width=150&optimizer=image']",9999,ETH,False,,,,,briannfts,Braindompuzzle,https://braindomgames.com/
34,Friendly Whales NFT Club,"['https://upcoming.images.rarity.tools/FWNC_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/FWNC_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/FWNC_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/FWNC_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/FWNC_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/FWNC_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/FWNC_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/FWNC_4?width=150&optimizer=image']",5555,ETH,False,,,,,2ANubZetBm,friendlywhales,https://friendlywhales.club/
35,Friendly Whales NFT Club,"['https://upcoming.images.rarity.tools/friendlywhalesnftclub_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/friendlywhalesnftclub_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/friendlywhalesnftclub_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/friendlywhalesnftclub_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/friendlywhalesnftclub_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/friendlywhalesnftclub_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/friendlywhalesnftclub_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/friendlywhalesnftclub_4?width=150&optimizer=image']",5555,ETH,False,,,,,2ANubZetBm,friendlywhales,https://friendlywhales.club/
36,Nostalgic Apes,"['https://upcoming.images.rarity.tools/nostalgicapesnft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/nostalgicapesnft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/nostalgicapesnft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/nostalgicapesnft_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/nostalgicapesnft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/nostalgicapesnft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/nostalgicapesnft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/nostalgicapesnft_4?width=150&optimizer=image']",10000,ETH,False,,,,,nostalgicapes,Nostalgicapes,https://www.nostalgicapes.com/
37,ArrogantBearWife,"['https://upcoming.images.rarity.tools/arrogantbearwifes_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/arrogantbearwifes_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/arrogantbearwifes_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/arrogantbearwifes_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/arrogantbearwifes_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/arrogantbearwifes_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/arrogantbearwifes_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/arrogantbearwifes_4?width=150&optimizer=image']",10000,ETH,False,,,,,QRjYnsMq3R,Arrogant_Bear,https://arrogantbear.com/
38,Greedy Gramps,"['https://upcoming.images.rarity.tools/greedygrampsnft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/greedygrampsnft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/greedygrampsnft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/greedygrampsnft_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/greedygrampsnft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/greedygrampsnft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/greedygrampsnft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/greedygrampsnft_4?width=150&optimizer=image']",10000,ETH,False,,,,,greedygramps,greedygrampsnft,https://www.greedygramps.com/
39,The Atlas Lyons Club,"['https://upcoming.images.rarity.tools/theatlaslyonsclub_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/theatlaslyonsclub_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/theatlaslyonsclub_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/theatlaslyonsclub_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/theatlaslyonsclub_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/theatlaslyonsclub_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/theatlaslyonsclub_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/theatlaslyonsclub_4?width=150&optimizer=image']",1920,ETH,False,,,,,atlaslyonsclub,AtlasLyons,https://www.atlaslyons.com
